season,team,wins,losses,g,ppg,opp_ppg,fg_pct,tp_pct,ft_pct,rpg,apg,tov_pg,tp_attempts_pg,pace,srs
1990,Golden State Warriors,37.0,45.0,82,116.3,119.4,48.4,32.4,80.9,40.2,24.1,17.3,9.1,105.9,-2.55
1990,Phoenix Suns,54.0,28.0,82,114.9,107.8,49.6,32.4,79.5,45.2,25.7,15.5,6.6,100.7,7.09
1990,Denver Nuggets,43.0,39.0,82,114.6,113.2,46.400000000000006,33.7,78.9,45.1,27.7,13.9,8.3,105.4,1.56
1990,Portland Trail Blazers,59.0,23.0,82,114.2,107.9,47.3,33.6,74.3,47.6,25.4,16.5,6.9,102.3,6.48
1990,Orlando Magic,18.0,64.0,82,110.9,119.8,45.9,29.5,75.6,46.0,24.3,17.2,4.8,104.1,-8.73
1990,Los Angeles Lakers,63.0,19.0,82,110.7,103.9,49.0,36.7,78.7,43.4,27.2,15.0,10.3,96.3,6.74
1990,Philadelphia 76ers,53.0,29.0,82,110.2,105.2,48.9,34.8,78.8,42.9,23.6,14.7,6.6,96.5,4.23
1990,Boston Celtics,52.0,30.0,82,110.0,106.0,49.8,26.200000000000003,83.2,46.0,29.5,15.3,4.9,98.2,3.23
1990,Chicago Bulls,55.0,27.0,82,109.5,106.2,49.8,37.4,77.8,40.9,26.5,15.2,8.2,96.7,2.74
1990,Indiana Pacers,42.0,40.0,82,109.3,109.1,49.7,38.2,81.6,40.6,24.7,16.4,9.4,97.0,-0.18
1990,Atlanta Hawks,41.0,41.0,82,108.5,107.5,48.699999999999996,30.2,76.4,42.2,22.2,15.5,5.0,95.8,0.64
1990,New York Knicks,45.0,37.0,82,108.3,106.9,48.4,33.2,75.6,44.1,26.1,17.2,8.7,98.2,0.78
1990,Washington Bullets,31.0,51.0,82,107.7,109.9,47.5,18.8,76.4,44.5,27.0,14.6,2.4,99.4,-2.43
1990,Seattle SuperSonics,41.0,41.0,82,106.9,105.9,47.9,35.5,74.1,43.6,22.9,16.3,7.9,95.3,1.4
1990,Utah Jazz,55.0,27.0,82,106.8,102.0,50.5,35.9,75.4,42.1,27.0,17.2,7.7,96.1,4.82
1990,Houston Rockets,41.0,41.0,82,106.7,105.3,48.0,31.2,72.0,47.0,26.8,18.5,6.0,101.2,1.71
1990,San Antonio Spurs,56.0,26.0,82,106.3,102.8,48.4,23.9,74.5,44.4,24.8,17.1,2.8,98.5,3.58
1990,Milwaukee Bucks,44.0,38.0,82,106.0,106.8,47.3,31.2,75.8,40.9,25.0,16.0,8.2,98.0,-1.06
1990,Detroit Pistons,59.0,23.0,82,104.3,98.3,47.8,32.7,76.1,44.4,24.3,15.0,6.6,94.4,5.41
1990,Los Angeles Clippers,30.0,52.0,82,103.8,107.2,48.4,24.3,73.8,41.7,24.1,18.9,2.8,99.2,-2.8
1990,Cleveland Cavaliers,42.0,40.0,82,102.6,102.9,46.1,40.699999999999996,74.4,42.8,25.7,15.2,10.4,95.0,-0.62
1990,Dallas Mavericks,47.0,35.0,82,102.2,102.2,47.5,32.300000000000004,76.7,42.2,21.7,15.0,5.9,94.5,0.42
1990,Sacramento Kings,23.0,59.0,82,101.7,106.8,46.800000000000004,33.300000000000004,77.10000000000001,40.4,25.0,15.1,7.9,96.7,-4.41
1990,Miami Heat,18.0,64.0,82,100.6,110.3,46.1,29.299999999999997,68.7,43.4,23.9,19.0,3.7,101.0,-9.59
1990,Charlotte Hornets,19.0,63.0,82,100.4,108.2,45.5,33.6,75.6,38.7,25.4,15.0,7.5,98.1,-7.0
1990,New Jersey Nets,17.0,65.0,82,100.1,108.0,42.6,27.700000000000003,74.6,45.0,18.0,16.6,6.2,99.3,-7.82
